epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,6595.99,1.21913,0.66152,1.16936,0.94575,0.92486,0.96133,0.61276,1.01709,4.97057,0.79685,0.007492,0.007492,0.007492
40,8759.32,1.21578,0.65984,1.16868,0.9456,0.92448,0.96109,0.61238,1.01677,4.97363,0.79676,0.007426,0.007426,0.007426
41,11026.6,1.21405,0.65831,1.1672,0.94466,0.926,0.96108,0.61182,1.01684,4.94481,0.79672,0.00736,0.00736,0.00736
42,13190.7,1.21034,0.65175,1.16565,0.94465,0.92752,0.96142,0.61245,1.01624,4.8632,0.79656,0.007294,0.007294,0.007294
43,15347.5,1.21019,0.65245,1.16317,0.94473,0.92774,0.96138,0.61276,1.0154,4.85129,0.79626,0.007228,0.007228,0.007228
44,17510.2,1.20802,0.65228,1.16636,0.94419,0.92861,0.96185,0.61333,1.01483,4.79644,0.79609,0.007162,0.007162,0.007162
45,19683.5,1.20645,0.64961,1.163,0.94508,0.92895,0.96232,0.61341,1.01389,4.80632,0.79568,0.007096,0.007096,0.007096
46,21864.7,1.20721,0.64699,1.16005,0.94519,0.92777,0.96224,0.61394,1.01274,4.85198,0.79497,0.00703,0.00703,0.00703
47,24053.9,1.20625,0.64615,1.16093,0.94641,0.92662,0.96248,0.61485,1.01131,4.8375,0.79441,0.006964,0.006964,0.006964
48,26236.9,1.19988,0.64195,1.15591,0.94571,0.92814,0.96251,0.61503,1.01102,4.77321,0.7944,0.006898,0.006898,0.006898
49,28453.8,1.19988,0.64144,1.15743,0.94531,0.9282,0.96246,0.61476,1.01075,4.694,0.79429,0.006832,0.006832,0.006832
50,30657.9,1.19597,0.64129,1.15512,0.94392,0.92923,0.96271,0.61491,1.00962,4.64218,0.79414,0.006766,0.006766,0.006766
51,32871.5,1.19984,0.63887,1.15747,0.94655,0.92826,0.963,0.61536,1.00944,4.53228,0.794,0.0067,0.0067,0.0067
52,35041.2,1.19499,0.63625,1.15288,0.94541,0.93014,0.96333,0.61572,1.00932,4.38708,0.79371,0.006634,0.006634,0.006634
53,37218.2,1.19576,0.63615,1.15617,0.9452,0.93282,0.96374,0.61565,1.00918,4.27809,0.79364,0.006568,0.006568,0.006568
54,2219.57,1.18436,0.62423,1.14814,0.94446,0.93313,0.96339,0.61566,1.0092,4.18912,0.79366,0.006502,0.006502,0.006502
55,4345.86,1.1896,0.62989,1.14889,0.945,0.93304,0.9632,0.61612,1.00872,4.16535,0.79343,0.006436,0.006436,0.006436
56,6490.82,1.1924,0.63158,1.15171,0.94756,0.93181,0.96335,0.61635,1.00827,4.10419,0.79311,0.00637,0.00637,0.00637
57,8629.53,1.18838,0.62944,1.15192,0.9477,0.93294,0.96362,0.61656,1.00797,4.04676,0.79321,0.006304,0.006304,0.006304
58,10774.7,1.18843,0.6286,1.15267,0.94871,0.93281,0.96372,0.61621,1.00784,4.02542,0.79344,0.006238,0.006238,0.006238
59,12895.4,1.18481,0.62442,1.14955,0.94879,0.93328,0.96369,0.61631,1.00749,4.01733,0.79357,0.006172,0.006172,0.006172
